GO_ID	D8vsD0	D11vsD8	D11vsD0	D18vsD8	D18vsD0
GO:0048511	2.2796259781832e-08	1	1	3.32285551174758e-06	1
GO:0007623	5.4553338493993e-08	1	1	1.59117578161648e-06	1
GO:0042752	1.83946226624829e-06	1	1	1.04245389348573e-06	1
GO:0048512	3.3541113574447e-06	1	1	1	1
GO:0007622	4.06922504413754e-06	1	1	1	1
GO:0032922	6.17127806717641e-06	1	1	1	1
GO:0043153	1.58532942372632e-05	1	1	1	1
GO:0009648	1.75944665600581e-05	1	1	1	1
GO:0009649	1.9457134322394e-05	1	1	1	1
GO:0097526	4.12642706680727e-05	1	1	1	1
GO:0046540	4.12642706680727e-05	1	1	1	1
GO:0006091	4.35044012851162e-05	1	1	1	1
GO:1990726	4.9274736308947e-05	1	1	1	1
GO:0006396	6.28338017521659e-05	1	1	1	1
GO:0016070	7.3328775480863e-05	1	1	1	1
GO:0120115	7.3806576757849e-05	1	1	1	1
GO:0005688	0.000103181699954863	1	1	1	1
GO:0010467	0.000203114976593293	1	1	1	1
GO:0140513	0.000205777078322278	1	1	1	1
GO:0097525	0.000270514556067664	1	1	1	1
GO:0006757	0.000361463434121372	1	1	1	1
GO:0006096	0.000361463434121372	1	1	1	1
GO:1903578	0.000374586821155646	1	1	1	1
GO:0030532	0.000401544087039372	1	1	1	1
GO:1990904	0.000417280894599295	1	1	1	1
GO:0090304	0.000432454479307769	1	1	1	1
GO:0046031	0.000475106910232046	1	1	1	1
GO:0006165	0.000506696879261656	1	1	1	1
GO:0009135	0.000506696879261656	1	1	1	1
GO:0009179	0.000506696879261656	1	1	1	1
GO:0045892	0.000543458068712216	1	1	1	1
GO:1903507	0.00055614089065272	1	1	1	1
GO:0046939	0.000556559442743078	1	1	1	1
GO:1902679	0.000559349132348141	1	1	1	1
GO:0046034	0.000627143274046016	1	1	1	1
GO:0045475	0.000634622317941536	1	1	1	1
GO:0120114	0.000639708106472257	1	1	1	1
GO:0009185	0.000665480755504078	1	1	1	1
GO:0005681	0.000748306922565941	1	1	1	1
GO:0006090	0.000808714521359854	1	1	1	1
GO:0009132	0.00094598961619748	1	1	1	1
GO:0051253	0.000966057497532884	1	1	1	1
GO:0071013	0.000985543899166027	1	1	1	1
GO:0006476	0.00115084493210835	1	1	1	1
GO:0034641	0.00116032394431983	1	1	1	1
GO:0001221	0.00120608662885409	1	1	1	1
GO:0008380	0.00132124584130268	1	1	1	1
GO:0006139	0.00133803567468561	1	1	1	1
GO:0016052	0.00138178315237804	1	1	1	1
GO:1901360	0.00143245317756818	1	1	1	1
