SCO0002	GO:0003677;GO:0005524;GO:0016787
SCO0005	GO:0003676;GO:0015074
SCO0015	GO:0006814;GO:0006885;GO:0016021
SCO0018	GO:0003723;GO:0005515
SCO0025	GO:0005524
SCO0036	GO:0016491;GO:0055114
SCO0037	GO:0003677;GO:0003700;GO:0006352;GO:0006355;GO:0016987
SCO0039	GO:0006629;GO:0008152
SCO0040	GO:0008152;GO:0016758;GO:0016999
SCO0044	GO:0016491
SCO0046	GO:0016661;GO:0055114
SCO0047	GO:0003700;GO:0006355
SCO0049	GO:0003723
SCO0058	GO:0003723
SCO0059	GO:0016491;GO:0055114
SCO0061	GO:0003824
SCO0062	GO:0003677;GO:0006355
SCO0065	GO:0005215;GO:0006810
SCO0066	GO:0006810;GO:0016020
SCO0067	GO:0006810;GO:0016020
SCO0068	GO:0003824
SCO0069	GO:0003824;GO:0004559;GO:0005975;GO:0006013;GO:0015923;GO:0030246
SCO0070	GO:0003824;GO:0050662
SCO0072	GO:0097264
SCO0079	GO:0016021;GO:0055085
SCO0083	GO:0003677;GO:0004803;GO:0006313
SCO0085	GO:0003910;GO:0005524;GO:0006281;GO:0006310
SCO0089	GO:0003700;GO:0006355
SCO0091	GO:0003676;GO:0003677;GO:0015074
SCO0096	GO:0003676;GO:0003677;GO:0015074
SCO0103	GO:0016491;GO:0019825;GO:0020037;GO:0055114
SCO0104	GO:0004733;GO:0010181;GO:0016491;GO:0055114
SCO0105	GO:0004553;GO:0005975
SCO0110	GO:0003677
SCO0111	GO:0016491
SCO0116	GO:0003677
SCO0117	GO:0016491
SCO0118	GO:0004553;GO:0005975
SCO0121	GO:0005524;GO:0016887
SCO0122	GO:0004499;GO:0016491;GO:0050660;GO:0050661;GO:0055114
SCO0125	GO:0003824
SCO0126	GO:0003824;GO:0008152;GO:0016740
SCO0127	GO:0003824;GO:0008152;GO:0016740
SCO0132	GO:0003677;GO:0005515;GO:0006355
SCO0136	GO:0009401;GO:0016021
SCO0137	GO:0005215;GO:0006810;GO:0008982;GO:0009401
SCO0138	GO:0016491
SCO0140	GO:0003677;GO:0006355
SCO0141	GO:0005509
SCO0142	GO:0005515;GO:0016209;GO:0016491;GO:0055114
SCO0143	GO:0003677
SCO0148	GO:0003677;GO:0043565
SCO0150	GO:0016491;GO:0055114
SCO0152	GO:0005215;GO:0006810;GO:0016020;GO:0055085
SCO0154	GO:0016491
SCO0155	GO:0003677
SCO0158	GO:0016491;GO:0055114
SCO0159	GO:0003677;GO:0003700;GO:0006352;GO:0006355;GO:0016987
SCO0160	GO:0003677;GO:0010181;GO:0016491;GO:0043565;GO:0055114
SCO0162	GO:0016491
SCO0164	GO:0000166;GO:0006812;GO:0016021;GO:0019829;GO:0046872
SCO0166	GO:0006793;GO:0008976
SCO0167	GO:0006950
SCO0169	GO:0003824
SCO0170	GO:0003824
SCO0171	GO:0004514;GO:0004516;GO:0009435;GO:0019358
SCO0172	GO:0006950
SCO0174	GO:0003677;GO:0010181;GO:0016491;GO:0043565;GO:0055114
SCO0178	GO:0006950
SCO0179	GO:0008270;GO:0016491;GO:0055114
SCO0180	GO:0006950
SCO0181	GO:0006950
SCO0185	GO:0008299
SCO0186	GO:0016117;GO:0016491;GO:0055114
SCO0187	GO:0009058;GO:0016740;GO:0016765
SCO0188	GO:0016491;GO:0051537;GO:0055114
SCO0189	GO:0016491;GO:0055114
SCO0190	GO:0008168
SCO0191	GO:0016491;GO:0055114
SCO0192	GO:0016491;GO:0055114
SCO0193	GO:0003677;GO:0006355;GO:0031419;GO:0046872
SCO0194	GO:0003677;GO:0003700;GO:0006352;GO:0006355;GO:0016987
SCO0197	GO:0010181;GO:0016491;GO:0055114
SCO0198	GO:0006950
SCO0199	GO:0008270;GO:0016491;GO:0055114
SCO0200	GO:0006950
SCO0202	GO:0016491
SCO0203	GO:0000155;GO:0000160;GO:0005515;GO:0016021;GO:0046983
SCO0204	GO:0000160;GO:0003677;GO:0006355
SCO0206	GO:0003824;GO:0008152
SCO0207	GO:0006950
SCO0208	GO:0003824;GO:0005524;GO:0006090;GO:0016301;GO:0016310;GO:0016772;GO:0050242
SCO0210	GO:0003824
SCO0211	GO:0000155;GO:0000160;GO:0016021;GO:0046983
SCO0213	GO:0016021;GO:0055085
SCO0214	GO:0010181;GO:0016491;GO:0055114
SCO0215	GO:0016491
SCO0216	GO:0008940;GO:0009325;GO:0016491;GO:0030151;GO:0042126;GO:0051539;GO:0055114
SCO0217	GO:0008940;GO:0009325;GO:0042126;GO:0055114
SCO0218	GO:0051082;GO:0051131
SCO0219	GO:0008940;GO:0009325;GO:0055114
SCO0222	GO:0008080
SCO0229	GO:0016491
SCO0230	GO:0003677
SCO0232	GO:0003824;GO:0008152;GO:0016829
SCO0233	GO:0003677;GO:0043565
SCO0236	GO:0003677;GO:0043565
SCO0237	GO:0016491
SCO0241	GO:0003677
SCO0246	GO:0003824;GO:0016614;GO:0050660;GO:0055114
SCO0249	GO:0016491;GO:0055114;GO:0071949
SCO0250	GO:0003677;GO:0045892;GO:0046677
SCO0252	GO:0016491;GO:0055114;GO:0071949
SCO0253	GO:0003677;GO:0045892;GO:0046677
SCO0254	GO:0016787
SCO0255	GO:0003677;GO:0005524;GO:0006355;GO:0008134;GO:0043565
SCO0256	GO:0016491;GO:0019152;GO:0045150;GO:0055114
SCO0257	GO:0016787
SCO0259	GO:0008270;GO:0016491;GO:0055114
SCO0261	GO:0016740
SCO0262	GO:0003700;GO:0006355
SCO0263	GO:0016491
SCO0264	GO:0003700;GO:0006355
SCO0266	GO:0003677;GO:0003700;GO:0006355;GO:0043565
SCO0271	GO:0006810;GO:0016020
SCO0272	GO:0006810;GO:0016020
SCO0273	GO:0005215;GO:0006810
SCO0274	GO:0003824;GO:0004557;GO:0005975
SCO0276	GO:0008152;GO:0016491;GO:0055114
SCO0277	GO:0006508;GO:0008236
SCO0278	GO:0016787
SCO0279	GO:0004560;GO:0005975;GO:0006004
SCO0280	GO:0016787;GO:0016818;GO:0046872
SCO0282	GO:0003700;GO:0005622;GO:0006355
SCO0284	GO:0003824;GO:0004553;GO:0005975
SCO0285	GO:0006814;GO:0006885;GO:0016021
SCO0287	GO:0003677;GO:0003700;GO:0006355;GO:0043565
SCO0289	GO:0003677;GO:0006355
SCO0290	GO:0005215;GO:0006810
SCO0291	GO:0006810;GO:0016020
SCO0292	GO:0006810;GO:0016020
SCO0293	GO:0004553;GO:0005975
SCO0295	GO:0005215;GO:0006810;GO:0016021;GO:0055085
SCO0296	GO:0003677
SCO0298	GO:0003700;GO:0006355
SCO0299	GO:0016491;GO:0055114
SCO0300	GO:0016491;GO:0055114
SCO0302	GO:0003677
SCO0305	GO:0005515;GO:0007165
SCO0307	GO:0003677;GO:0043565
SCO0310	GO:0003677
SCO0311	GO:0003824;GO:0008152
SCO0312	GO:0003995;GO:0008152;GO:0016627;GO:0050660;GO:0055114
SCO0313	GO:0016021;GO:0055085
SCO0314	GO:0005515;GO:0046983
SCO0315	GO:0003824;GO:0008836;GO:0009089
SCO0317	GO:0016021;GO:0055085
SCO0322	GO:0005524;GO:0016887
SCO0324	GO:0005515
SCO0330	GO:0016491
SCO0332	GO:0003677
SCO0333	GO:0016702;GO:0055114
SCO0336	GO:0016491;GO:0055114
SCO0337	GO:0003677
SCO0338	GO:0004345;GO:0006006;GO:0050661;GO:0055114
SCO0339	GO:0051287;GO:0055114
SCO0341	GO:0003824;GO:0004560
SCO0344	GO:0003677;GO:0003700;GO:0006355
SCO0345	GO:0003677;GO:0006355
SCO0346	GO:0003824;GO:0008152
SCO0348	GO:0051287;GO:0055114
SCO0350	GO:0016787
SCO0351	GO:0003824
SCO0352	GO:0005215;GO:0006810
SCO0353	GO:0006810;GO:0016020
SCO0354	GO:0006810;GO:0016020
SCO0355	GO:0005737;GO:0016857
SCO0356	GO:0016491
SCO0357	GO:0003700;GO:0006355
SCO0360	GO:0003677;GO:0006355
SCO0361	GO:0003824;GO:0008152
SCO0362	GO:0003824
SCO0363	GO:0005215;GO:0006810
SCO0364	GO:0003824;GO:0008152
SCO0365	GO:0016491
SCO0366	GO:0003824;GO:0005975;GO:0030246
SCO0368	GO:0003676;GO:0003677;GO:0015074
SCO0369	GO:0003824
SCO0371	GO:0003824
SCO0374	GO:0005524;GO:0006810;GO:0016021;GO:0016887;GO:0042626;GO:0055085
SCO0375	GO:0016021;GO:0055085
SCO0376	GO:0003677;GO:0043565
SCO0379	GO:0004096;GO:0006979;GO:0020037;GO:0055114
SCO0380	GO:0005515
SCO0382	GO:0016616;GO:0042121;GO:0047919;GO:0051287;GO:0055114
SCO0384	GO:0008270;GO:0016491;GO:0055114
SCO0385	GO:0009103;GO:0016020
SCO0386	GO:0004066;GO:0006529
SCO0387	GO:0016491;GO:0055114
SCO0388	GO:0016829;GO:0042597
SCO0395	GO:0003824;GO:0050662
SCO0400	GO:0008830
SCO0401	GO:0003824;GO:0008483;GO:0030170
SCO0404	GO:0008152;GO:0016787;GO:0019120
SCO0406	GO:0005488
SCO0407	GO:0003677;GO:0005488;GO:0006355
SCO0410	GO:0003951;GO:0006741;GO:0008152;GO:0019674
SCO0413	GO:0048193;GO:0070273
SCO0414	GO:0003677;GO:0003700;GO:0006352;GO:0006355;GO:0016987
SCO0418	GO:0008703;GO:0009231;GO:0055114
SCO0419	GO:0016491;GO:0055114
